Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Central African Republic,CAF,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8020,8140,8150,8170,8210,8250,9280,9350,10360,9120,10640,8620,7430,10080,8700,9210,9250,9370,10030,7640,8740,9320,7800,8430,8180,8310,9230,8420,8670,7500,,
Canada,CAN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23880,24360,24810,25430,25510,26940,28430,27660,28700,28410,27310,26760,27490,28120,28250,29710,27010,30750,30060,29140,29930,32360,34540,34090,33500,33400,32610,33030,34750,33480,,
Central Europe and the Baltics,CEB,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62930,54970,49330,46840,45420,43620,44320,45180,43000,41790,41780,42730,42030,41780,43210,42720,42710,43770,44690,42780,43290,44290,43630,44470,44400,45540,46580,46540,46440,46790,,
Switzerland,CHE,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090,2060,2030,2010,2010,1990,1970,1910,1890,1810,1780,1830,1720,1700,1720,1770,1780,1750,1790,1770,1760,1730,1670,1720,1730,1710,1710,1700,1660,1670,,
Channel Islands,CHI,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900,3880,4040,4240,4480,4670,4820,4920,4890,5050,5070,5110,5230,5070,5650,5380,5550,5800,6310,6010,6050,5640,5670,5320,5270,5500,5100,5090,5120,5280,,
China,CHN,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253600,259600,264040,253910,266340,305600,327870,296690,302180,315160,304170,303490,318170,316520,326150,330850,334580,335130,342750,346210,349350,348630,352640,353260,353890,357750,357170,348620,340010,342820,,
Cote d'Ivoire,CIV,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2500,2540,2620,2680,2740,2590,2750,2780,2700,2800,3020,3350,3220,2610,3300,3090,3210,2950,2850,2850,2970,3020,3240,2840,2940,3530,2940,2900,2770,,
Cameroon,CMR,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4760,4700,4720,4710,4750,4750,4890,5070,5620,5580,6280,5860,5780,6440,5680,6430,5870,5740,5540,5360,5620,5530,5440,5590,5470,5540,5610,5560,5560,5470,,
"Congo, Dem. Rep.",COD,Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12760,12680,12710,12690,12680,12610,9890,9650,10150,9220,9030,9890,12480,13660,14600,14350,14550,12760,13530,13380,13880,13040,12840,13480,13090,13590,13480,14070,13220,13370,,
