Canada,CAN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,73.23572237,73.79889244,72.07245234,74.30541594,73.07275877,71.31949567,68.36311354,68.60577358,67.97944919,67.28175783,68.12861753,66.5536764,65.21148518,65.47287247,66.16685697,66.3072759,63.71935,60.7773635,58.33183174,61.55845665,60.62687207,60.80929655,60.80542437,59.35757181,59.98571441,62.07523096,61.13981869,59.0920664,59.72294432,59.19936723,56.51581946,58.31312234,57.2385004,56.81861752,58.3248996,57.74160186,58.47559142,59.73576676,60.46978159,58.18440158,59.04023435,59.72330209,58.88807883,57.25461666,56.74419298,57.74160186,58.47559142,59.73576676,60.46978159,58.18440158,59.04023435,59.72330209,58.88807883,57.25461666,
Central Europe and the Baltics,CEB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,4.748683364,5.48427695,5.214311569,5.847253543,5.768950361,4.933314385,5.562516636,5.344819751,5.615089311,6.082742888,5.897901717,5.099534246,4.576442206,4.461891658,4.829938544,4.144675395,4.402302719,5.07951224,4.722012681,6.940894921,8.227823772,7.532730653,8.232952356,8.951766339,9.861619292,9.644659233,9.690666257,10.55151935,10.66372414,9.345138681,9.200023745,9.17739177,7.468631834,9.398585877,10.3679404,9.502913808,8.193397987,8.802549864,9.800293738,11.46370243,7.958415073,7.879824196,9.911898546,10.6711593,9.133111617,9.502913808,8.193397987,8.802549864,9.800293738,11.46370243,7.958415073,7.879824196,9.911898546,10.6711593,
Switzerland,CHE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,86.1903082,76.75585809,75.78835864,74.8477171,77.88687499,71.89924629,77.92329484,75.46035503,69.41383482,68.09548521,68.45120963,69.19517026,67.86090622,60.87983049,57.7074743,58.19140093,58.96930011,59.97352458,55.39079797,54.18060809,56.3901976,56.07765126,58.78080841,59.72026903,56.49820075,51.10131375,54.91515034,53.72207242,58.25287959,55.70443409,58.13279293,53.79057512,53.24006116,52.8427151,54.03450484,49.82457834,53.05618688,53.7561907,53.57940996,54.59486465,51.50426154,56.64807749,55.96769499,54.25808108,57.88159826,49.82457834,53.05618688,53.7561907,53.57940996,54.59486465,51.50426154,56.64807749,55.96769499,54.25808108,
Channel Islands,CHI,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.74419298
Chile,CHL,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,56.41717504,64.1370047,63.82614648,68.45218888,73.15620705,71.13290935,71.28682488,69.99034749,66.89419795,66.98153349,68.04140925,75.09055682,76.14860583,73.90531229,78.84615385,80.23602821,82.00422076,74.24179722,59.19375667,48.59568909,65.7983067,74.9005053,74.37403658,67.19943031,65.70093124,54.79777438,56.90002102,44.90129263,35.39984371,46.19991018,49.38280313,50.98349019,46.283286,42.92102796,50.45918756,52.65545915,39.53237963,40.52157309,41.65870689,35.93506966,31.97084291,28.89994409,27.01293369,32.27650001,31.6778755,52.65545915,39.53237963,40.52157309,41.65870689,35.93506966,31.97084291,28.89994409,27.01293369,32.27650001,9.133111617
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,21.57311127,22.12749341,22.52666149,25.21121723,22.69517854,22.09730568,21.03439743,17.38438991,17.769108,19.36267172,21.19507227,22.70507813,24.57318461,22.99477994,22.49141688,21.0286299,20.11181049,20.01980888,20.24418187,20.39699453,18.46006272,17.5673113,18.10820385,18.03403196,18.9080616,17.40039251,17.25372572,17.81584582,16.43701605,16.40538216,18.73339325,17.40903562,14.84653972,16.04464167,15.87772039,15.2056174,14.78656465,16.87787066,16.5714641,16.94897365,14.62413023,17.30873395,16.73134903,18.55249398,19.06981297,15.2056174,14.78656465,16.87787066,16.5714641,16.94897365,14.62413023,17.30873395,16.73134903,18.55249398,57.88159826
Cote d'Ivoire,CIV,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,23.63945578,32.65895954,21.10552764,32.43559719,39.81288981,30.85201794,17.86001609,11.81046676,40.13194063,77.30131504,91.63135593,88.75192604,50.3871967,24.93315508,76.12107623,64.21278882,48.41233318,53.6996971,72.42162653,66.66666667,69.01485966,56.64864865,50.2285192,49.72469293,60.53613845,54.6961326,46.61374349,34.23669816,36.412705,36.75,36.84749232,32.65961466,36.01336741,31.72413793,25.29484246,26.7020336,31.91262653,32.72413793,36.29705331,27.12489522,29.08673553,25.49885975,20.99346405,23.08713493,15.52060613,26.7020336,31.91262653,32.72413793,36.29705331,27.12489522,29.08673553,25.49885975,20.99346405,23.08713493,
Cameroon,CMR,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,97.30232558,96.23318386,95.52772809,95.42902967,95.22058824,94.72096531,94.23076923,94.16604338,94.30425379,93.94356504,94.81403876,94.87895717,96.53419593,98.28519856,97.82875871,98.10330912,97.72727273,98.05566146,98.41152567,98.47979236,98.56088561,98.72122762,98.94067797,98.82352941,98.85098743,98.86246122,98.84910486,98.35858586,98.75592417,98.90804598,98.10787913,96.42424242,95.76547231,95.37712895,94.20579421,76.22405014,73.37402251,74.49392713,69.44492478,72.21562977,74.26110454,74.01058201,74.10163339,74.15474642,74.99260136,76.22405014,73.37402251,74.49392713,69.44492478,72.21562977,74.26110454,74.01058201,74.10163339,74.15474642,31.6778755
"Congo, Dem. Rep.",COD,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,96.95345557,96.70793472,97.92099792,97.66906475,97.52631579,98.04305284,98.1884058,98.03921569,96.03193806,95.45556805,95.90522199,96.42188962,96.99003898,97.10444674,97.21523883,97.28079911,97.2361343,97.32937685,99.68286003,99.55752212,99.58341223,99.6871398,99.69341749,99.66114458,99.70859641,99.70535276,99.62324013,99.59813875,99.54768187,99.94984955,99.91613552,99.86885246,99.88612331,99.88676575,99.90507187,99.39016307,98.89621923,98.7150616,98.90501655,98.91208096,98.88593493,99.65843405,99.67304432,99.77375566,99.70923731,99.39016307,98.89621923,98.7150616,98.90501655,98.91208096,98.88593493,99.65843405,99.67304432,99.77375566,19.06981297
"Congo, Rep.",COG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,61.36363636,64.70588235,52.08333333,55.55555556,55.23809524,55.26315789,46.15384615,16.66666667,59.23076923,64.51612903,65.18987342,89.23076923,99.14529915,99.20948617,98.97959184,99.25925926,98.93238434,98.97260274,99.25,99.39148073,100,99.06542056,99.17127072,99.38271605,99.43502825,99.56331878,99.5584989,99.41860465,85.58558559,99.66216216,100,100,85.71428571,83.12342569,81.98614319,82.1192053,82.30958231,81.34490239,61.2244898,54.71938776,61.17556071,58.05882353,56.81685196,54.71264368,53.34486736,82.1192053,82.30958231,81.34490239,61.2244898,54.71938776,61.17556071,58.05882353,56.81685196,54.71264368,15.52060613
